"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.581188785E1,5.122095346E-1,-1.088239551E0,1.719605446E1
3.591188785E1,8.490961075E0,6.960692406E0,6.270114899E0
3.601188785E1,5.607295036E0,-1.236829638E0,6.640991688E0
3.611188785E1,-4.309638023E0,-1.490315795E0,1.781749916E1
3.621188785E1,-2.245611668E0,-1.734000564E0,1.121062469E1
3.631188785E1,-1.674594402E0,-1.486874104E0,1.080937195E1
3.641188785E1,1.047538042E0,2.141388893E0,1.426682377E1
3.651188785E1,2.097245932E0,2.293944597E0,6.681842804E0
3.661188785E1,4.370989323E0,1.431283712E0,3.291204214E0
3.671188785E1,5.404835701E0,6.010418892E0,-3.323226690E0
3.681188785E1,4.512321949E-1,2.036867142E0,1.088995171E1
3.691188785E1,-2.511816740E0,-5.689221621E-1,1.419589520E1
3.701188785E1,-1.710956335E0,8.814777374E0,-6.036530495E0
3.711188785E1,-2.894140959E0,2.717867851E0,9.898901939E0
3.721188785E1,-4.486883640E0,2.320654869E0,9.183409691E0
3.731188785E1,3.170147419E0,-8.228871346E0,9.262642860E0
3.741188785E1,3.589955807E0,5.196764469E0,1.418856335E1
3.751188785E1,4.169502258E0,-3.220201433E-1,8.886977196E0
3.761188785E1,3.189824820E0,1.912218928E0,1.258586979E1
3.771188785E1,9.860370159E-1,-2.561646223E0,2.058190536E1
3.781188785E1,2.550872326E0,-1.869123340E0,1.121893024E1
3.791188785E1,6.335207462E0,3.959186554E0,-1.120665932E1
3.801188785E1,2.902819872E0,-6.988599777E0,5.061417103E0
3.811188785E1,3.768623173E-1,3.667692661E0,-5.734113216E0
3.821188785E1,6.280290484E-1,4.909460068E0,-2.897956610E0
3.831188785E1,-7.784597397E0,1.148580837E1,-1.124002934E0
3.841188785E1,-4.173916340E0,-2.286313057E0,1.050268936E1
3.851188785E1,-5.381492138E0,-4.075380266E-1,1.909518051E1
3.861188785E1,4.302081108E0,3.363554001E0,5.136236191E0
3.871188785E1,2.561795712E-1,-2.728866100E0,6.407706738E0
3.881188785E1,-3.040785789E0,2.248903513E0,1.909024239E1
3.891188785E1,-4.551901340E0,5.299415588E-1,1.187823296E1
3.901188785E1,-4.918588102E-1,-3.268085420E-1,1.186603737E1
3.911188785E1,-1.288903475E0,2.743381023E0,1.688952255E1
