"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.782946884E1,-4.573162198E-1,5.310930312E-2,9.472741187E-2
2.792946884E1,2.919262946E-1,1.747494191E-1,8.896516263E-2
2.802946884E1,7.474105954E-1,4.116845131E-2,2.706259489E-2
2.812946884E1,1.612930745E-1,-6.924693286E-2,-8.218701929E-2
2.822946884E1,-6.727011800E-1,-3.049330041E-2,-5.220999196E-2
2.832946884E1,1.374446750E-1,-2.947741188E-3,1.908204406E-1
2.842946884E1,-3.079140484E-1,1.620591432E-1,1.206242293E-1
2.852946884E1,2.770210505E-1,4.518204555E-2,4.339008331E-1
2.862946884E1,4.104021788E-1,9.202947468E-2,3.758786321E-1
2.872946884E1,-5.345237255E-1,-4.718051106E-2,3.702162951E-2
2.882946884E1,-1.358508945E0,2.747228146E-1,-1.169437170E-1
2.892946884E1,6.195252761E-3,3.071479797E-1,2.255771458E-1
2.902946884E1,3.647704720E-1,1.290677637E-1,2.330380976E-1
2.912946884E1,-6.353464723E-2,8.686676621E-2,1.749825776E-1
2.922946884E1,-5.105920434E-1,-1.362788975E-1,-5.774408579E-1
2.932946884E1,3.163742423E-1,-1.422093630E0,-5.079274178E-1
2.942946884E1,5.620193481E-1,-5.143058896E-1,-5.582721829E-1
2.952946884E1,-5.052627921E-1,-6.029379964E-1,3.491824269E-1
2.962946884E1,5.699465871E-1,-5.091098547E-1,8.172070980E-2
2.972946884E1,-3.409220874E-1,-6.661561877E-2,2.892450094E-1
2.982946884E1,1.770959616E0,-2.086234689E-1,1.207741141E0
2.992946884E1,-1.108800292E0,-4.659429491E-1,6.069015861E-1
3.002946884E1,-7.395999134E-2,3.298639059E-1,2.345535904E-1
3.012946884E1,-1.483862847E-1,5.530928373E-1,9.414452314E-2
3.022946884E1,9.140995145E-1,4.569998085E-1,4.666424170E-2
3.032946884E1,-4.331014454E-1,6.701198220E-1,-4.166640341E-1
3.042946884E1,-5.903143287E-1,2.903941274E-1,-6.233556867E-1
3.052946884E1,-2.043101043E-1,-5.171037465E-2,-3.910170197E-1
3.062946884E1,-9.664760828E-1,-6.763150543E-2,-1.339973211E-1
3.072946884E1,-7.326219082E-1,-4.620459378E-1,2.530227900E-1
3.082946884E1,5.033476353E-1,-7.057092190E-1,8.922163248E-1
3.092946884E1,1.424741596E-1,-1.444393098E-1,5.149220824E-1
3.102946884E1,-7.928091288E-1,2.145522535E-1,2.698099017E-1
3.112946884E1,-1.324485093E-1,3.396230936E-1,-1.645405777E-2
3.122946884E1,6.707193851E-1,2.107385099E-1,-8.613232970E-1
3.132946884E1,8.163744211E-2,-2.008460909E-1,-1.036122680E0
3.142946884E1,-7.711091042E-1,1.655731201E-1,-1.732006073E-1
3.152946884E1,-8.021020293E-1,-9.520871043E-1,3.297639787E-1
3.162946884E1,3.224195912E-2,-5.855679512E-1,7.916266918E-1
3.172946884E1,3.492656946E-1,-4.154816270E-1,4.989010394E-1
3.182946884E1,-6.796458364E-2,2.698432207E-1,8.406224847E-1
3.192946884E1,-2.905107141E-1,3.469674587E-1,-6.496687979E-2
3.202946884E1,6.513342261E-2,4.161311090E-1,-4.837293327E-1
3.212946884E1,1.192253083E-1,2.288413048E-1,-7.571531534E-1
3.222946884E1,2.526230812E-1,1.084502265E-1,-5.202846527E-1
3.232946884E1,1.529494673E-1,1.728508770E-1,-3.700497746E-2
3.242946884E1,-2.157180309E-1,7.505914569E-2,-3.757620454E-1
3.252946884E1,6.019387245E-1,-1.008060873E-1,-5.064119101E-1
3.262946884E1,-4.822804332E-1,-2.508077919E-1,-3.726144731E-1
3.272946884E1,1.598108709E-1,-3.672519028E-1,2.279253453E-1
3.282946884E1,1.011658072E0,-2.340539843E-1,3.985945582E-1
3.292946884E1,9.131336212E-1,1.943510771E-2,3.537122905E-1
3.302946884E1,1.811445206E-1,3.047498167E-1,2.292243391E-1
3.312946884E1,-1.432085872E0,7.107719779E-1,-1.472371668E-1
3.322946884E1,2.975553274E-1,4.660761952E-1,2.121707425E-2
3.332946884E1,6.127138138E-1,-3.476835787E-1,-2.560870945E-1
3.342946884E1,2.113580465E0,4.233422503E-2,-9.436102211E-2
3.352946884E1,6.182595491E-1,1.195916906E-1,-1.037871316E-1
3.362946884E1,-2.477934510E-1,2.926424146E-1,-1.164940670E-1
3.372946884E1,3.620059192E-1,-3.415715694E-2,3.672185913E-2
3.382946884E1,3.282484785E-2,-3.089299425E-2,1.365786791E-1
3.392946884E1,2.033441700E-2,-8.818242699E-2,2.122207135E-1
3.402946884E1,-8.434869647E-1,2.598009072E-2,6.783135235E-2
3.412946884E1,-1.416248083E-1,3.274157643E-2,-7.955570519E-2
3.422946884E1,-1.348133534E-1,4.831297696E-2,-2.369850688E-2
3.432946884E1,-5.062786862E-3,-2.514739521E-3,-2.364854515E-2
3.442946884E1,2.247777581E-1,-2.306565829E-2,-2.387836874E-1
3.452946884E1,-1.163608357E-1,-6.811446976E-3,-3.314127028E-1
3.462946884E1,-1.415581908E-2,-1.870899647E-1,-3.066816628E-1
3.472946884E1,7.066085339E-1,-6.878062617E-3,1.381774545E-1
3.482946884E1,3.577924967E-1,-2.917098105E-1,3.181728423E-1
3.492946884E1,8.265332878E-2,-1.349632442E-1,3.887687624E-1
3.502946884E1,7.311064284E-3,-2.004130930E-1,2.453120202E-1
3.512946884E1,-1.161976218E0,3.481165767E-1,2.792859972E-1
3.522946884E1,3.635547310E-2,1.577790976E-1,-2.726077735E-1
3.532946884E1,9.180797935E-1,4.548847675E-1,-2.769877315E-1
3.542946884E1,-1.036872119E-1,-9.049732238E-2,-2.931919992E-1
3.552946884E1,-1.633331656E0,3.161743879E-1,7.755723596E-2
3.562946884E1,-1.256287336E0,-1.854911894E-1,-1.293675303E-1
3.572946884E1,6.633916497E-1,-4.462413788E-1,4.531027973E-1
3.582946884E1,9.343340397E-1,1.268694401E-1,1.818606406E-1
3.592946884E1,-5.826035738E-1,1.242148161E0,-1.089165360E-2
3.602946884E1,-6.509178877E-1,-9.219601750E-2,-8.239352703E-1
3.612946884E1,4.447758496E-1,-6.550647020E-1,1.653399616E-1
3.622946884E1,1.295507252E-1,-5.921462178E-1,-3.833729029E-2
3.632946884E1,3.647205234E-1,-2.431470156E-2,5.235987902E-1
3.642946884E1,-7.360526323E-1,-6.186925620E-2,9.954538345E-1
3.652946884E1,-8.063820750E-2,1.959165335E-1,9.143826365E-1
3.662946884E1,5.172702670E-2,5.565235615E-1,5.900977850E-1
3.672946884E1,-4.751858711E-1,2.209473550E-1,-6.190589666E-1
3.682946884E1,-1.915865242E-1,-1.722346842E-1,-6.970158815E-1
3.692946884E1,7.483931780E-1,-1.517170761E-2,-4.005597234E-1
3.702946884E1,1.093661934E-1,-1.549645811E-1,-7.351533175E-1
3.712946884E1,-2.829498351E-1,-4.487394691E-1,-4.610134065E-1
3.722946884E1,4.643441737E-1,-3.653033972E-1,-1.242714375E-1
3.732946884E1,1.937931657E0,1.535490062E-2,6.561805010E-1
3.742946884E1,-7.604006529E-1,-4.073711634E-1,5.350400209E-1
3.752946884E1,-2.411485463E-2,-7.092898339E-2,6.365788579E-1
3.762946884E1,-4.193453118E-2,1.686374396E-1,3.359758854E-1
3.772946884E1,1.099340916E0,1.588782482E-2,-2.303734720E-1
3.782946884E1,3.430537879E-1,7.246114314E-2,-1.632915437E-1
3.792946884E1,-7.849484682E-1,-5.111083388E-2,-2.077741176E-1
3.802946884E1,1.776522040E0,-5.099425837E-2,4.293210208E-1
