"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.479644579E2,5.233062345E1,4.868590559E0,1.350725417E0,3.566219330E0,1.816297302E2,4.500906467E0,3.000000000E0
1.489710644E2,5.233059312E1,4.868590138E0,2.059384807E0,3.702572107E0,1.853332825E2,4.638653278E0,3.000000000E0
1.499662288E2,5.233055880E1,4.868587533E0,2.334994589E0,3.392910957E0,1.839691315E2,4.582092285E0,3.000000000E0
1.509637659E2,5.233052929E1,4.868586277E0,2.593160863E0,3.170413733E0,1.815265503E2,3.910991907E0,3.000000000E0
1.519723792E2,5.233050404E1,4.868588539E0,2.677656467E0,2.621738672E0,1.766856842E2,4.154194355E0,3.000000000E0
1.529653441E2,5.233048114E1,4.868591124E0,2.804355613E0,2.933104992E0,1.827842255E2,4.154103279E0,3.000000000E0
1.539580742E2,5.233044725E1,4.868584851E0,2.383901521E0,3.180235624E0,1.874863281E2,4.154013634E0,3.000000000E0
1.549645988E2,5.233041829E1,4.868580415E0,2.525129396E0,3.153961897E0,1.881470337E2,4.153923512E0,3.000000000E0
1.559607446E2,5.233038014E1,4.868579546E0,2.672586280E0,3.669886589E0,1.799721985E2,4.153832912E0,3.000000000E0
1.569653640E2,5.233033921E1,4.868581774E0,2.651420344E0,4.167304993E0,1.790979767E2,4.153743267E0,3.000000000E0
1.579662325E2,5.233028439E1,4.868581453E0,2.259540606E0,5.107916832E0,1.848160400E2,3.910329580E0,3.000000000E0
1.589682382E2,5.233021213E1,4.868573960E0,1.737327478E0,5.780890942E0,1.833636780E2,3.910235167E0,3.000000000E0
1.599647299E2,5.233014150E1,4.868567124E0,1.563444557E0,6.501063347E0,1.829061279E2,3.910140038E0,3.000000000E0
1.609647092E2,5.233006896E1,4.868563632E0,9.169303729E-1,6.689560413E0,1.814346924E2,4.153379917E0,3.000000000E0
1.619612367E2,5.232999853E1,4.868563253E0,2.965862401E-1,6.646584034E0,1.807637024E2,3.909950495E0,3.000000000E0
1.629641251E2,5.232993583E1,4.868559778E0,-3.652422104E-2,6.227927685E0,1.799664612E2,3.746243715E0,3.000000000E0
1.639628999E2,5.232988243E1,4.868563642E0,-4.482844985E-1,5.418604851E0,1.819825439E2,3.909761429E0,3.000000000E0
1.649651980E2,5.232983809E1,4.868567581E0,1.244067014E-1,4.925289631E0,1.819985809E2,3.909667969E0,3.000000000E0
1.659694864E2,5.232979432E1,4.868569747E0,5.326581978E-1,4.561776161E0,1.847069244E2,4.152928352E0,3.000000000E0
1.669620750E2,5.232974820E1,4.868572762E0,7.612767988E-1,3.966306448E0,1.828428192E2,4.152840137E0,3.000000000E0
1.679657723E2,5.232970964E1,4.868578528E0,6.310840531E-1,3.581856012E0,1.809357605E2,4.152750492E0,3.000000000E0
1.689656541E2,5.232967384E1,4.868586501E0,8.073438897E-1,3.621150494E0,1.809011688E2,4.152661324E0,3.000000000E0
1.699665331E2,5.232963550E1,4.868591376E0,1.144465325E0,3.911486149E0,1.774100037E2,3.946390629E0,3.000000000E0
1.709750739E2,5.232959954E1,4.868599599E0,1.257962403E0,3.765269279E0,1.795539551E2,3.909110785E0,3.000000000E0
1.719665055E2,5.232955787E1,4.868598209E0,1.424472666E0,3.798791885E0,1.838503876E2,3.909018040E0,3.000000000E0
1.729692935E2,5.232951864E1,4.868592773E0,1.203830180E0,3.796274900E0,1.867523499E2,3.990109444E0,3.000000000E0
1.739643160E2,5.232948056E1,4.868588452E0,1.361272077E0,3.867869139E0,1.878098145E2,4.082694530E0,3.000000000E0
1.749591550E2,5.232943850E1,4.868582987E0,1.305676912E0,3.864775896E0,1.837997131E2,4.152133942E0,3.000000000E0
1.759632125E2,5.232939911E1,4.868580463E0,1.314807081E0,3.841482162E0,1.834951935E2,4.152046680E0,3.000000000E0
1.769622557E2,5.232936085E1,4.868578574E0,1.267443772E0,3.779686451E0,1.836520233E2,4.151959896E0,3.000000000E0
1.779594477E2,5.232932459E1,4.868573117E0,1.201823719E0,3.948434591E0,1.821601105E2,3.908467770E0,3.000000000E0
1.789597344E2,5.232928495E1,4.868576992E0,1.317597133E0,3.774807692E0,1.783911133E2,3.908376932E0,3.000000000E0
1.799640771E2,5.232924877E1,4.868586966E0,1.663693446E0,3.888256311E0,1.763746796E2,3.959955215E0,3.000000000E0
1.809630462E2,5.232920287E1,4.868596630E0,2.065791108E0,4.157928467E0,1.781540985E2,3.908195496E0,3.000000000E0
1.819683593E2,5.232916654E1,4.868601081E0,2.279254972E0,3.978416204E0,1.842121735E2,3.908104658E0,3.000000000E0
1.829691561E2,5.232912988E1,4.868596550E0,2.729209755E0,3.897991180E0,1.862345123E2,4.415696144E0,3.000000000E0
1.839632007E2,5.232909708E1,4.868592259E0,2.985099900E0,3.616926193E0,1.841113586E2,4.497075558E0,3.000000000E0
1.849669425E2,5.232906477E1,4.868591954E0,3.144938722E0,3.295249462E0,1.823384094E2,4.496970654E0,3.000000000E0
1.859687911E2,5.232903629E1,4.868590136E0,3.271637885E0,3.091187954E0,1.790455627E2,4.496865749E0,3.000000000E0
1.869668485E2,5.232900997E1,4.868591464E0,3.423430100E0,3.089676857E0,1.804950256E2,4.496761322E0,3.000000000E0
1.879733517E2,5.232898491E1,4.868586447E0,3.462790289E0,2.937813997E0,1.849401245E2,4.260054588E0,3.000000000E0
1.889689390E2,5.232895866E1,4.868581093E0,3.362467394E0,2.667742968E0,1.793853302E2,5.116900921E0,3.000000000E0
1.899738259E2,5.232893411E1,4.868579904E0,3.111982277E0,2.710267305E0,1.784549713E2,5.116476059E0,3.000000000E0
