"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.806755042E1,-1.582088232E0,1.136302948E-1,7.936601639E-1
2.816755042E1,-2.051910400E0,1.203027964E0,-4.785885334E0
2.826755042E1,-5.723044276E-1,-2.451897383E0,-9.180660248E-1
2.836755042E1,-1.487972856E0,-2.372238159E0,1.304615974E0
2.846755042E1,1.809294462E0,-8.859884739E-2,-1.724430084E0
2.856755042E1,1.644831061E0,1.030302286E0,3.984355927E-2
2.866755042E1,-9.012695551E-1,-6.823778152E-2,-1.772028923E0
2.876755042E1,-4.580542564E0,2.326366901E0,-1.800050735E-1
2.886755042E1,5.046635866E-1,-6.990914822E0,4.378452301E0
2.896755042E1,-4.761996269E-1,1.357025146E0,-3.383058548E0
2.906755042E1,6.497154236E-1,2.220450640E-1,6.019649506E-1
2.916755042E1,2.959808111E-1,-6.664383411E-2,-2.101747036E0
2.926755042E1,-2.221094131E0,5.006978512E-1,6.535148621E-2
2.936755042E1,1.208735228E0,9.567965269E-1,3.007549286E0
2.946755042E1,-2.981639385E0,-4.109713078E0,3.603641510E0
2.956755042E1,-9.990894794E-2,-2.657031059E0,3.810713768E0
2.966755042E1,6.160764694E-1,2.986304760E0,-1.685390472E0
2.976755042E1,-3.675726175E0,-3.385148048E0,6.720810890E0
2.986755042E1,-2.319024563E0,-1.200140953E1,1.047231770E1
2.996755042E1,5.828180313E-1,-4.861113548E0,6.849969864E0
3.006755042E1,4.837909698E0,-6.055172920E0,3.754683495E0
3.016755042E1,1.550927758E0,-1.591916919E0,1.682980537E0
3.026755042E1,3.942507505E-1,-2.252499580E0,-6.558599472E-1
3.036755042E1,3.485122919E0,-4.369737148E0,-2.840909958E-1
3.046755042E1,-6.701070666E-1,-1.244491100E0,-5.598697662E-1
3.056755042E1,-1.526253104E0,3.105380058E0,-5.651093483E0
3.066755042E1,-1.274369121E0,-7.613726616E0,7.418519020E0
3.076755042E1,-3.641588449E0,-5.982056618E0,6.073055267E0
3.086755042E1,-1.451582670E0,2.500671148E-1,-6.684303284E-2
3.096755042E1,-1.815435886E-1,8.423808813E-1,2.925114632E0
3.106755042E1,3.156116009E0,-3.563013554E0,1.660117149E0
3.116755042E1,1.857691050E0,-2.514803886E0,2.043507576E0
3.126755042E1,7.730665207E0,6.119045258E0,-7.605803490E0
3.136755042E1,8.197611570E-1,8.780335188E-1,-2.155907154E0
3.146755042E1,-4.193859100E0,-2.391204357E0,3.115904808E0
3.156755042E1,-1.782649755E-1,-2.537717342E0,-2.926267624E0
3.166755042E1,2.337253571E0,3.734632492E0,-6.302559853E0
3.176755042E1,-9.884497523E-1,1.379136920E0,-2.109006882E0
3.186755042E1,-3.695550919E0,2.062988281E-1,-3.034725189E0
3.196755042E1,-9.980494380E-1,-9.720517397E-1,-3.023610592E0
3.206755042E1,7.402571440E-1,-1.256129503E0,-3.014272690E0
3.216755042E1,-1.455245018E0,-1.801009059E0,9.786882401E-1
3.226755042E1,1.967302799E0,1.050727367E-1,-2.437032700E0
3.236755042E1,3.264292717E0,3.962238312E0,-1.051990318E1
3.246755042E1,1.598410606E0,-9.896571636E-1,-3.850132465E0
3.256755042E1,5.421662331E-2,-4.112876892E0,3.556912422E0
3.266755042E1,3.449054003E0,-2.235511541E0,1.034657478E0
3.276755042E1,-1.008175611E-1,-2.470891237E0,3.341534615E0
3.286755042E1,-7.920870185E-1,1.352384210E0,7.910852432E-1
3.296755042E1,-1.571590662E0,2.095375061E0,-2.568603039E0
3.306755042E1,-7.406885028E-1,-1.976443291E0,6.520881653E-1
3.316755042E1,4.483018398E0,-1.324928188E1,9.659962654E0
3.326755042E1,3.892913342E0,-9.294663668E-1,-1.706058502E0
3.336755042E1,2.292260528E-1,-2.616138935E0,3.983826637E0
3.346755042E1,-2.394451380E0,2.334514141E0,-3.986069679E0
3.356755042E1,-2.512636185E0,6.516680717E0,-7.545012474E0
3.366755042E1,-1.782292366E0,9.849966764E-1,-2.254493237E0
3.376755042E1,-1.573181748E0,-1.315456271E0,4.530105591E-1
3.386755042E1,-1.971452236E0,3.306254864E0,-1.517870903E0
3.396755042E1,-1.027639627E0,3.232870579E0,-3.396942139E0
3.406755042E1,-6.255573630E-1,-2.965095520E0,4.668397903E-1
3.416755042E1,-5.932496786E-1,-1.305088878E0,1.211051941E0
3.426755042E1,-1.970030069E-1,-2.377684593E0,1.654907227E0
3.436755042E1,2.518691421E-1,-2.003986120E0,1.573085785E-1
3.446755042E1,1.871426105E0,-9.029424787E-1,-1.328296661E0
3.456755042E1,1.500777006E0,-2.673552036E-1,-8.293619156E-1
3.466755042E1,-1.509093046E0,8.900938034E-1,-8.791999817E-1
3.476755042E1,-1.257461190E0,-2.513779163E0,2.890540123E0
3.486755042E1,7.464528084E-3,5.686852932E-1,-1.908241272E0
3.496755042E1,-7.182767987E-1,3.118855476E0,-3.136717796E0
3.506755042E1,-2.222554982E-1,-2.577775002E0,4.836730957E-1
3.516755042E1,1.813043237E0,5.078652859E0,-3.584403992E0
3.526755042E1,-1.007095575E-1,-1.044319391E0,-4.882154465E-1
3.536755042E1,-1.914777160E-1,-8.937529564E0,9.425027847E0
3.546755042E1,-6.019105911E-1,2.913749695E0,-3.239082336E0
3.556755042E1,-2.021776915E0,1.284705520E0,-2.654140949E0
3.566755042E1,-9.832054377E-1,-3.813196659E0,3.534523964E0
3.576755042E1,-2.198844194E0,-6.274377346E0,3.947220802E0
3.586755042E1,9.615448713E-1,-4.263723373E0,1.111334801E0
3.596755042E1,6.636302948E0,-6.047115803E0,1.894036293E0
3.606755042E1,1.162712574E0,2.946352959E-1,2.569702148E0
3.616755042E1,2.788523436E0,1.639011502E0,-7.782802582E-1
3.626755042E1,-6.902117133E-1,1.180279493E0,-1.361475945E0
3.636755042E1,-3.990654707E0,1.288903713E0,1.615379333E0
3.646755042E1,4.610167444E-1,-3.050092697E0,4.790359497E0
3.656755042E1,-2.953388453E0,-2.124041080E0,1.339498520E0
3.666755042E1,2.823844433E0,1.838018060E0,-1.390723228E0
3.676755042E1,7.022418976E0,-1.993846774E0,-3.266375065E0
3.686755042E1,4.024641514E0,-3.258044720E0,1.677971840E0
3.696755042E1,1.897825241E0,3.491941214E0,-8.174519539E0
3.706755042E1,4.911036491E-1,3.349377632E0,-1.922403336E0
3.716755042E1,-2.757107019E0,-2.252526760E0,2.245944977E0
3.726755042E1,1.057274818E0,1.764472365E0,-1.844305038E0
3.736755042E1,2.476824760E0,6.160002708E0,-5.537501335E0
3.746755042E1,9.104524851E-1,-7.043022156E0,7.030491829E0
3.756755042E1,-1.988798380E-1,-3.659556866E0,5.193462372E-1
3.766755042E1,2.790964842E-1,-3.174901009E-2,8.920001984E-1
3.776755042E1,2.800688267E0,3.642521858E0,-6.301524162E0
3.786755042E1,1.983231783E0,5.521643639E0,-1.014601421E1
3.796755042E1,1.765905857E0,-1.032580853E1,8.967153549E0
3.806755042E1,2.564360619E0,5.369358063E0,-1.222217846E1
3.816755042E1,-1.981652975E0,-1.386865973E0,1.697419167E0
3.826755042E1,-9.203622818E0,-6.749925613E0,1.569017029E1
3.836755042E1,-6.468670368E-1,-5.341469765E0,-2.320098877E-2
3.846755042E1,-2.893507481E-2,-1.334005475E0,1.936159134E-1
3.856755042E1,1.851355553E0,1.881776810E0,-4.586543560E0
3.866755042E1,-6.128132343E-2,-5.676341057E0,8.182573318E-1
3.876755042E1,-1.462903500E0,-1.691157818E0,4.514895439E0
3.886755042E1,2.327210426E0,1.964659810E0,-4.379160881E0
3.896755042E1,3.491426706E-1,1.267638445E0,-1.213225365E0
3.906755042E1,5.646934509E-1,8.919348717E-1,-1.477972984E0
3.916755042E1,-5.127384663E-1,-1.724704504E-1,-8.946933746E-1
3.926755042E1,-8.327848315E-1,2.377288818E0,-3.334237576E0
3.936755042E1,-1.446401954E0,-8.304420710E-1,-1.686286926E-1
3.946755042E1,-1.010357141E0,-3.070820332E0,5.641841888E-2
3.956755042E1,-2.048530579E0,-1.512233257E0,3.805300713E0
3.966755042E1,-5.574562550E-1,-2.021523714E0,6.366910934E-1
3.976755042E1,1.123023033E-2,-1.826205969E0,2.840846062E0
3.986755042E1,-1.772790909E0,3.693509579E0,-6.244627476E0
