,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),labelnormal,labelbrake,labelstop,labelturnright,labelturnleft,labelaccelerate
37.0,0.6160919999999999,-0.5340181999999999,10.315159199999998,0.01355325,0.19772375,-0.185125,0.12570719999999996,-0.2801756,-0.2378176,52.350306,4.924867,1.914711,3.4,317.100006,3.790092,2.825718,1,0,0,0,0,0
37.5,0.1688136,0.4969892,8.7631146,0.025502799999999992,-0.05219680000000001,-0.12067280000000002,-0.143849,0.316594,-0.8730319999999999,,,,,,,,1,0,0,0,0,0
38.0,1.4220542,-1.6029518000000005,11.6879816,-0.009468199999999993,-0.0412322,-0.02852660000000002,0.009634600000000005,1.3211392,-1.3564193999999998,52.350333,4.924828,1.818232,3.53,316.399994,4.02,3.1094630000000003,1,0,0,0,0,0
38.5,-0.964367,1.135573600000001,10.9402848,0.0273048,0.022143,0.1446794,-1.0511216,-0.3427135999999999,-1.4325143999999999,,,,,,,,1,0,0,0,0,0
39.0,1.2894326,2.901656,5.7416374,-0.03164950000000001,-0.037147000000000006,-0.000840249999999999,-0.7244945999999999,0.970915,-2.6503254000000003,52.350358,4.924788,1.064215,3.24,314.0,3.790092,3.039259,1,0,0,0,0,0
39.5,1.2836894,0.14584220000000006,9.0949992,0.021563,0.0011300000000000025,0.031428199999999996,-0.8775042000000001,-0.36619,-1.5683952,,,,,,,,1,0,0,0,0,0
40.0,-0.31393819999999995,1.1769698000000002,9.689495800000001,-0.00552800000000001,0.0693922,-0.12021480000000001,0.1926314000000001,-0.6425662,0.07227380000000001,52.35038,4.924747,1.209303,3.31,313.899994,3.790092,3.072779,1,0,0,0,0,0
40.5,-0.6348756,3.739563,4.5607202,-0.021440999999999998,-0.028678999999999993,0.0389108,0.369845,-1.2557201999999998,1.1407892,,,,,,,,1,0,0,0,0,0
41.0,-0.7056431999999999,2.1968504,6.871409,0.08478560000000002,-0.016951000000000008,-0.0368342,0.387855,-1.540578,1.812037,52.350401,4.924708,1.090964,3.15,315.0,3.927251,3.238699,1,0,0,0,0,0
41.5,-2.3665616000000003,-0.94014,10.341360599999998,-0.025999000000000005,0.051501999999999985,-0.16779199999999994,-0.1041016,-1.43555,1.3929248,,,,,,,,1,0,0,0,0,0
42.0,0.24095739999999996,-2.4361926,13.319527799999998,-0.0346656,-0.034451800000000005,0.02183760000000001,-0.3098054,-0.3769004,-0.15238899999999994,52.350422,4.924674,0.7584529999999999,3.03,318.700012,4.1476180000000005,3.343386,1,0,0,0,0,0
42.5,-2.0729022,1.0714462,8.223473199999999,-0.014415999999999997,0.025838999999999997,-0.0383,-0.5993166000000001,-1.3433056,-0.05163100000000004,,,,,,,,1,0,0,0,0,0
43.0,-1.3143774,-3.3390644000000003,13.4301954,-0.006689000000000007,-0.0252586,-0.017959000000000006,-1.091308,-1.81976,0.317895,52.350442,4.924642,0.491313,2.92,320.600006,4.3830550000000015,3.558097,1,0,0,0,0,0
43.5,0.09242279999999994,0.6029909999999997,9.5333044,0.007101250000000003,-0.13259225,0.1867665,-1.091308,-1.81976,0.317895,,,,,,,,1,0,0,0,0,0
44.0,0.5648255999999999,-1.3508082000000003,10.4409026,-0.027488200000000008,0.06575779999999999,0.0014660000000000007,-0.3115796,-0.17679780000000006,0.0805488,52.350463,4.9246050000000015,0.970508,3.37,318.399994,4.469079,3.632758,1,0,0,0,0,0
44.5,-0.9317652,0.03529439999999997,9.588818199999999,0.06820100000000001,0.04584400000000001,-0.0126752,-0.13572639999999994,0.1384644000000001,-0.18518160000000006,,,,,,,,1,0,0,0,0,0
45.0,-0.5921038000000001,-0.10965099999999993,8.7327856,0.002076800000000004,-0.0758062,0.07803579999999999,-0.115351,1.302169,-1.118247,52.350485,4.924562,1.2494459999999998,3.45,315.299988,4.265952,3.675629,1,0,0,0,0,0
45.5,-0.7024729999999999,-0.6606583999999998,10.2840522,0.012560250000000002,0.08620575,-0.07192749999999999,-0.115351,1.302169,-1.118247,,,,,,,,1,0,0,0,0,0
