Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
55.865254,0.045251,-0.560478,0.748615
55.970042,0.628720,0.428767,-0.267179
56.074828,1.753332,0.222770,-0.232972
56.179615,0.954672,0.271408,-0.309042
56.284401,0.224003,-0.561370,0.863861
56.389189,0.200276,-0.029112,0.742162
56.493975,0.610906,0.199530,-0.046675
56.598763,0.320844,-0.094112,0.141128
56.703549,-0.323593,0.424807,-0.809687
56.808337,-0.463761,-0.417603,0.233201
56.913123,-0.008217,-0.188661,0.619083
57.017910,-0.032509,0.176139,0.813853
57.122696,1.097834,0.324115,-0.454659
57.227484,-0.152326,-0.288627,-0.378831
57.332270,-0.118713,0.514364,0.613380
57.437057,0.008409,-0.067447,-0.366458
57.541843,-0.700867,-0.294538,0.288335
57.646631,0.229552,-0.721949,1.485766
57.751417,0.241782,0.330838,-0.700360
57.856204,0.574791,0.276501,0.007780
57.960990,-0.449259,0.165572,-0.073240
58.065778,0.392173,0.215241,-0.517247
58.170564,0.166952,-0.521131,0.991702
58.275351,-1.159157,-0.489419,0.587108
58.380137,-0.420232,0.438623,-0.444158
58.484925,-0.209897,0.117385,0.032406
58.589711,-0.734882,0.041993,-0.175822
58.694498,0.064453,0.208446,-0.452223
58.799284,-0.466759,-0.813803,1.388183
58.904072,-1.610282,-0.471964,0.043959
59.008858,0.103105,0.294821,-0.205666
59.113645,0.077002,0.268531,0.714858
59.218431,0.252766,0.088292,-0.168427
59.323219,0.230540,0.177513,0.660599
59.428005,0.379971,-0.608111,0.328454
59.532792,1.714015,0.387603,-0.028649
59.637578,0.056022,-0.409890,0.217769
59.742366,-1.768182,-0.094165,-0.315520
59.847152,-1.389424,-0.686801,0.387685
59.951939,-0.708207,-0.238827,0.560829
60.056725,-0.030167,0.002449,0.222964
60.161512,-0.184475,0.085851,0.092850
60.266298,1.259425,0.237048,0.180924
60.371086,1.229320,0.721197,-0.392645
60.475871,1.183752,-0.537131,0.422741
60.580659,-0.434134,-0.314655,0.712471
60.685444,0.545494,-0.181987,0.375321
60.790232,0.613507,-0.058016,-0.381260
60.895018,-0.653834,0.034028,0.304336
60.999805,0.254791,0.161361,0.457180
61.104591,0.168908,0.214342,-0.400349
61.209378,-0.355204,-0.984013,0.935033
61.314164,0.793284,0.048154,0.434949
61.418951,1.997303,0.520844,-0.086396
61.523737,0.739774,0.141925,-0.120672
61.628524,0.946988,0.298333,0.056934
61.733310,-0.089480,-0.262801,0.446726
61.838097,-0.541058,-0.646922,0.545608
61.942883,-0.513521,0.059282,0.014519
62.047670,-0.027566,0.324053,-0.184493
62.152456,-0.613908,0.122339,-0.477014
62.257243,-0.423407,0.525641,-0.150826
62.362029,0.352967,-0.253488,0.352607
62.466816,-0.918920,-0.228328,0.471722
62.571602,0.031044,0.038598,-0.302444
62.676389,1.698150,0.185972,0.678737
62.781174,0.652133,0.633587,-0.833631
62.885962,-0.135642,0.127684,0.221818
62.990747,-1.157345,-0.797476,0.312619
63.095535,0.228796,0.511525,-0.225089
63.200320,1.973765,0.116400,0.815512
63.305108,-0.252199,0.077742,-0.872973
63.409893,-1.235144,-0.203579,0.168341
63.514680,-1.270516,-0.266518,0.238097
63.619466,0.393952,-0.103405,0.333618
63.724253,0.683255,0.423841,-0.087492
63.829039,0.889265,0.589191,-0.144720
63.933826,1.335267,-0.297271,-0.224035
64.038612,-0.655071,0.173367,-0.125610
64.143399,-1.636877,-0.171232,0.870242
64.248185,0.360449,-0.093422,-0.377892
64.352972,1.178160,0.775987,-0.219814
64.457758,0.232006,0.139963,0.207755
64.562545,0.083300,-0.903088,0.626888
64.667331,-0.716901,0.774230,-0.559681
64.772118,0.853709,-0.446588,0.817470
64.876904,-0.182788,0.179046,-0.171071
64.981691,0.991603,-0.084904,0.292741
65.086477,1.137183,0.316460,-0.161623
65.191264,0.557284,0.474637,-0.438583
65.296049,-0.500094,-0.687006,0.570819
65.400837,-1.494777,-0.174651,-0.100935
65.505622,0.095839,0.679269,-0.613167
65.610410,0.593769,-0.017352,0.742305
65.715195,0.090649,0.247117,-0.253384
65.819983,-0.847388,0.022837,0.026036
65.924768,1.393821,-0.338487,0.591313
66.029556,-0.561421,-0.037361,-0.198663
66.134341,-0.340445,0.368344,0.130511
66.239128,-0.476184,-0.374708,0.005447
66.343914,0.384552,0.320554,0.431111
