Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
59.608835,0.019853,-0.291069,-0.363760
59.713621,-0.032069,-0.091322,0.278394
59.818408,-0.132248,0.028099,0.498299
59.923194,0.018784,0.145534,0.308172
60.027982,0.043370,0.075745,0.218531
60.132767,0.005498,0.167678,0.217156
60.237555,0.043065,0.154697,-0.107662
60.342341,-0.012064,-0.018936,-0.358262
60.447128,0.019089,0.117894,-0.231969
60.551914,0.005192,0.053296,-0.099568
60.656701,0.056503,-0.049020,-0.293512
60.761487,0.046424,0.024739,-0.121253
60.866274,0.021380,-0.118352,-0.067804
60.971060,-0.016646,-0.174244,-0.065361
61.075847,-0.041843,-0.019700,0.124002
61.180633,-0.020463,0.042148,0.242812
61.285420,0.041690,-0.009010,-0.136524
61.390206,0.069026,-0.173328,-0.410031
61.494993,0.012064,-0.270147,-0.392622
61.599779,0.010995,-0.230442,-0.141411
61.704567,-0.042912,-0.102775,0.194249
61.809352,0.067499,0.123849,0.294428
61.914139,-0.013133,-0.049784,0.116061
62.018925,-0.033444,0.023518,0.188446
62.123712,-0.024281,0.149963,0.251669
62.228498,-0.014049,-0.113007,-0.095598
62.333285,0.051158,-0.027488,-0.023212
62.438071,-0.030084,0.007636,0.232427
62.542858,0.014508,0.019394,0.138051
62.647644,0.045203,0.127667,-0.046119
62.752431,-0.032680,0.011759,-0.235940
62.857217,-0.043370,0.014355,-0.073760
62.962004,-0.033444,0.231206,0.405603
63.066790,0.029473,0.165234,-0.158362
63.171577,0.073607,-0.224181,-0.517846
63.276363,0.034818,-0.207841,-0.195624
63.381150,-0.035276,-0.045508,0.274576
63.485936,-0.071775,0.031764,0.411406
63.590723,0.021532,0.072538,0.050853
63.695508,0.041996,0.039094,0.007483
63.800296,-0.006261,-0.145382,-0.314434
63.905081,0.007177,-0.146145,-0.174702
64.009869,-0.070553,0.117588,0.367883
64.114654,0.015577,0.261901,0.414918
64.219442,0.108273,0.142938,0.040621
64.324227,-0.002902,0.008399,-0.284197
64.429014,-0.036498,0.091933,-0.129652
64.533800,0.029473,-0.058030,-0.015424
64.638587,-0.061390,-0.078341,-0.046577
64.743373,0.012522,-0.006108,-0.028404
64.848160,-0.045966,-0.069331,-0.064750
64.952946,0.034055,-0.059710,-0.124613
65.057733,0.079716,-0.169968,-0.237772
65.162519,-0.011606,-0.187988,-0.119726
65.267306,-0.008857,0.062154,0.292290
65.372092,-0.035582,0.168747,0.503033
65.476879,0.007636,0.156835,0.057267
65.581665,0.036345,0.018173,-0.097277
65.686452,-0.021991,0.038025,-0.091474
65.791238,0.013897,-0.105829,-0.147214
65.896025,0.055282,-0.130569,-0.186767
66.000811,0.020922,-0.185850,-0.036193
66.105598,-0.051006,-0.049173,0.178062
66.210384,-0.070400,0.095750,0.348794
66.315171,-0.006567,0.254112,0.250753
66.419956,0.036498,0.127056,-0.043981
66.524744,0.046272,0.068568,-0.164623
66.629529,0.029168,0.000611,-0.135455
66.734316,-0.017562,-0.118046,-0.220821
66.839102,-0.007177,-0.076967,-0.065055
66.943889,-0.035429,0.031917,0.282670
67.048675,-0.012522,-0.027335,0.048257
67.153462,0.073149,-0.070400,-0.113618
67.258247,-0.032528,0.046577,0.254418
