Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m)
310.306984,52.355853,4.919142,1.565398,3.020000,342.899994,3.790092,2.500000
311.306984,52.355879,4.919137,1.644717,2.690000,351.899994,3.790092,2.500000
312.306984,52.355901,4.919146,1.733620,2.390000,12.300000,3.790092,2.500000
313.451199,52.355923,4.919186,0.724519,4.210000,45.700001,3.790092,2.500000
314.306984,52.355943,4.919246,1.288609,4.060000,62.400002,3.790092,2.500000
315.306984,52.355958,4.919308,1.606414,3.840000,67.099998,3.790092,2.500000
316.306984,52.355973,4.919367,1.565637,3.860000,64.500000,3.790092,2.500000
317.306984,52.355988,4.919426,1.442401,3.970000,65.800003,3.790092,2.500000
318.306984,52.356004,4.919485,1.550307,3.970000,66.300003,3.790092,2.500000
319.306983,52.356021,4.919543,1.551952,4.190000,64.500000,3.790092,2.500000
320.306984,52.356038,4.919601,1.223396,4.000000,65.699997,3.790092,2.500000
321.306984,52.356055,4.919658,1.436771,4.080000,65.400002,3.790092,2.500000
322.306984,52.356071,4.919716,1.541563,4.020000,67.199997,3.790092,2.500000
323.306984,52.356089,4.919772,1.797603,4.170000,63.700001,3.790092,2.500000
324.306984,52.356107,4.919828,1.964104,4.060000,63.799999,3.790092,2.500000
325.306984,52.356125,4.919884,2.416736,4.050000,64.400002,3.790092,2.500000
326.306984,52.356142,4.919941,2.767197,4.250000,65.599998,3.790092,2.500000
327.306984,52.356158,4.919998,2.650797,3.930000,66.300003,3.790092,2.500000
328.306984,52.356175,4.920053,2.766697,4.120000,65.099998,3.790092,2.500000
329.306984,52.356191,4.920109,2.716704,4.120000,64.599998,3.790092,2.500000
330.306984,52.356207,4.920164,2.148887,4.010000,63.700001,3.790092,2.500000
331.306984,52.356224,4.920219,2.524919,4.180000,63.500000,3.790092,2.500000
332.306984,52.356240,4.920275,2.689463,4.110000,65.300003,3.790092,2.500000
333.306984,52.356257,4.920332,3.135565,4.340000,63.700001,3.790092,2.500000
334.306984,52.356272,4.920389,3.251343,4.010000,65.500000,3.790092,2.500000
335.306984,52.356288,4.920445,3.087457,4.220000,64.599998,3.790092,2.500000
336.306984,52.356304,4.920501,3.097644,4.110000,66.400002,3.790092,2.500000
337.306984,52.356320,4.920555,3.272991,4.090000,65.400002,3.790092,2.500000
338.306984,52.356335,4.920610,3.029880,4.080000,67.300003,3.790092,2.500000
339.306984,52.356352,4.920669,3.405731,4.410000,66.099998,3.790092,2.500000
